timestamp_ms,acc_x,acc_y,acc_z
0,0.02874,-4.57808,8.529862
10,0.27902,-4.423601,8.826845
20,0.02874,-5.176835,7.643705
30,0.166454,-4.307443,9.158555
40,0.159269,-4.775669,8.471185
50,0.015568,-4.988826,8.062834
60,0.168849,-4.446354,8.7526
70,0.071851,-4.845125,7.998168
80,0.173639,-4.488267,8.663983
90,0.092208,-4.843927,8.264015
100,0.146096,-4.776866,8.446036
110,0.148491,-4.629573,8.581355
120,0.112566,-4.665498,8.437654
130,0.124541,-4.661906,8.404124
140,0.130529,-4.690646,8.344249
150,0.149689,-4.683461,8.456815
160,0.124541,-4.714596,8.422087
170,0.124541,-4.702621,8.428074
180,0.129331,-4.678671,8.428074
190,0.118553,-4.693041,8.412506
200,0.134121,-4.682263,8.462802
210,0.118553,-4.687053,8.405321
220,0.124541,-4.665498,8.429272
230,0.120948,-4.701424,8.438851
240,0.114961,-4.714596,8.432864
250,0.126936,-4.708609,8.436457
260,0.132924,-4.718189,8.423284
270,0.134121,-4.701424,8.428074
280,0.120948,-4.688251,8.429272
290,0.123344,-4.688251,8.428074
300,0.138911,-4.690646,8.429272
310,0.129331,-4.714596,8.460407
320,0.124541,-4.709806,8.431666
330,0.114961,-4.690646,8.405321
340,0.119751,-4.694239,8.418494
350,0.113763,-4.694239,8.435259
360,0.122146,-4.697831,8.442444
370,0.120948,-4.699028,8.420889
380,0.134121,-4.701424,8.422087
390,0.140109,-4.697831,8.414902
400,0.141306,-4.684659,8.422087
410,0.147294,-4.693041,8.416099
420,0.135319,-4.690646,8.438851
430,0.138911,-4.693041,8.440049
440,0.117356,-4.691844,8.423284
450,0.125739,-4.695436,8.414902
460,0.123344,-4.708609,8.417296
470,0.122146,-4.718189,8.434062
480,0.122146,-4.708609,8.416099
490,0.119751,-4.699028,8.440049
500,0.125739,-4.691844,8.432864
510,0.130529,-4.689448,8.419691
520,0.134121,-4.683461,8.416099
530,0.130529,-4.685856,8.419691
540,0.131726,-4.700226,8.432864
550,0.135319,-4.718189,8.438851
560,0.126936,-4.707411,8.440049
570,0.130529,-4.691844,8.423284
580,0.131726,-4.685856,8.413704
590,0.129331,-4.682263,8.417296
600,0.118553,-4.688251,8.432864
610,0.120948,-4.696633,8.438851
620,0.130529,-4.712201,8.442444
630,0.120948,-4.699028,8.426877
640,0.111368,-4.684659,8.411309
650,0.118553,-4.689448,8.424481
660,0.110171,-4.699028,8.413704
670,0.129331,-4.687053,8.420889
680,0.125739,-4.706213,8.440049
690,0.129331,-4.699028,8.435259
700,0.125739,-4.713398,8.383766
710,0.140109,-4.694239,8.469987
720,0.134121,-4.722979,8.358619
730,0.135319,-4.671486,8.501122
740,0.137714,-4.706213,8.429272
750,0.129331,-4.681066,8.437654
760,0.122146,-4.676276,8.422087
770,0.114961,-4.697831,8.408914
780,0.123344,-4.685856,8.449629
790,0.106578,-4.708609,8.392149
800,0.118553,-4.702621,8.392149
810,0.119751,-4.695436,8.438851
820,0.116158,-4.711004,8.416099
830,0.140109,-4.695436,8.424481
840,0.118553,-4.718189,8.418494
850,0.125739,-4.693041,8.422087
860,0.126936,-4.691844,8.436457
870,0.130529,-4.689448,8.423284
880,0.130529,-4.693041,8.417296
890,0.119751,-4.689448,8.435259
900,0.122146,-4.697831,8.432864
910,0.123344,-4.690646,8.419691
920,0.126936,-4.699028,8.423284
930,0.117356,-4.696633,8.447234
940,0.125739,-4.690646,8.423284
950,0.125739,-4.691844,8.424481
960,0.125739,-4.689448,8.410111
970,0.126936,-4.701424,8.434062
980,0.131726,-4.691844,8.437654
990,0.129331,-4.693041,8.417296
1000,0.126936,-4.708609,8.424481
1010,0.136516,-4.702621,8.416099
1020,0.130529,-4.691844,8.423284
1030,0.130529,-4.700226,8.418494
1040,0.128134,-4.696633,8.429272
1050,0.128134,-4.683461,8.441247
1060,0.118553,-4.694239,8.426877
