timestamp_ms,acc_x,acc_y,acc_z
0,-0.590372,-5.380412,33.290771
10,-6.215076,-3.514691,25.168064
20,-1.288521,-3.974535,24.726183
30,1.731599,-6.146818,20.713327
40,3.503914,-1.876498,7.454499
50,4.421206,-0.158071,4.851112
60,3.016527,1.123264,3.262017
70,1.374741,1.707649,2.444118
80,-0.064666,2.167493,2.392625
90,-1.247805,2.300416,2.870431
100,-2.153123,1.075364,5.435497
110,-1.938768,-0.117356,7.474856
120,-1.627416,-1.112487,10.062675
130,-1.401086,-1.689686,12.572656
140,3.41889,1.8274,7.358698
150,-0.0479,-6.735993,30.959221
160,-6.359975,-5.285809,25.432713
170,-2.46687,-5.855823,23.879543
180,-0.386796,-6.889274,17.957857
190,2.375859,-3.493136,11.25779
200,4.343368,1.277743,4.725374
210,3.573369,2.10163,3.06323
220,2.133962,2.302811,2.306404
230,0.55325,2.569856,2.325564
240,-0.748444,2.484833,2.990182
250,-2.075284,0.986748,5.787565
260,-2.119592,-0.262255,7.975415
270,-1.960324,-0.850232,10.740465
280,9.701027,7.902367,-22.701193
290,5.047504,-9.445957,20.221151
300,-3.622467,-5.610333,25.356073
310,0.821492,-4.384083,25.162077
320,1.161584,-5.649851,21.429438
330,1.082549,-5.052294,13.000167
340,4.107459,-2.415377,8.131092
350,4.408034,-0.168849,3.279979
360,2.325564,1.876498,2.238146
370,0.773591,2.392625,1.967509
380,-0.585582,2.789,2.338737
390,-1.622626,2.77463,3.135081
400,-2.230961,2.011817,4.483477
410,-2.110012,-0.124541,8.668774
420,-1.318458,0.112566,11.699671
430,-4.951703,1.329236,-20.930077
440,6.492898,-10.067465,33.818874
450,-6.71803,-4.336183,26.30929
460,0.148491,-5.800737,21.585114
470,0.948428,-6.461763,14.156961
480,3.865562,-2.361489,9.212443
490,4.812792,-0.310155,6.167176
500,4.427194,1.193917,4.211642
510,1.300496,2.102827,2.612967
520,-0.094603,2.42855,2.950664
530,-1.355581,2.41897,3.758983
540,-2.260899,1.930386,4.912185
550,-2.287244,1.357976,6.522836
560,-2.878814,0.065863,11.140434
570,-0.587977,1.545985,-15.893351
580,5.076244,-9.519006,35.003212
590,-10.085427,-6.536008,26.50688
600,-6.106102,-7.725136,23.138285
610,-2.038162,-3.178191,10.843451
620,5.469028,0.494572,7.903565
630,6.037845,1.917213,5.628296
640,4.773274,2.155518,4.129014
650,2.670447,2.189048,3.535049
660,0.637075,2.141148,4.390071
670,-1.905238,1.26457,5.465435
680,-2.402205,0.34129,6.616242
690,-2.343527,-0.178429,8.120314
700,4.722979,3.373385,-6.230644
710,1.621428,-5.956414,13.413307
720,-8.305928,-5.115762,26.030272
730,-2.532733,-7.479646,24.66032
740,0.105381,-7.31918,18.356628
750,3.245252,-2.845283,11.861335
760,6.430628,0.116158,8.123906
770,4.905,1.374741,3.932622
780,2.43334,1.565145,3.11113
790,0.337698,1.906436,3.120711
800,-1.047821,1.957929,3.677553
810,-2.341132,1.804647,4.604425
820,-3.228487,0.353265,7.110813
830,6.204298,5.195995,-19.754122
840,0.761616,-6.142028,15.052698
850,-2.439327,-7.07369,31.995068
860,-5.75164,-3.696713,27.712772
870,0.025148,-6.970705,17.29324
880,4.053571,-2.70757,11.85415
890,6.177953,-0.416733,8.43047
900,6.101313,0.25028,6.101313
910,4.281097,0.995131,4.666696
920,1.84656,1.726809,3.751798
930,-1.059796,1.704057,4.149372
940,-1.987866,1.4909,4.841532
950,-2.684817,1.041834,5.697752
960,-2.694397,0.410746,6.877299
970,0.561632,9.693842,-39.23521
980,-8.509504,-5.622309,28.69952
990,-5.53968,-5.955216,26.522448
1000,-1.728007,-5.686974,23.711891
1010,0.343685,-5.630691,18.97574
1020,1.858535,-4.655918,12.78222
1030,5.721702,0.249082,6.05461
1040,4.475094,1.256188,4.237987
1050,2.427352,1.777105,3.238066
1060,0.637075,2.141148,2.930306
1070,-0.656235,2.341132,3.28477
1080,-2.344724,1.607058,5.025949
1090,-2.009422,1.49569,6.570736
1100,-6.890471,2.518363,-34.476307
1110,6.409072,-10.271042,30.245506
1120,-7.61257,-2.756668,28.324699
1130,-0.580792,-5.485793,24.577692
1140,0.583187,-7.032975,18.036892
1150,3.150648,-3.873944,11.914025
