timestamp_ms,acc_x,acc_y,acc_z
0,-1.656156,3.320695,6.991062
10,-1.877695,3.362607,6.98268
20,-2.253713,3.515889,6.740783
30,-2.579436,3.95298,6.431825
40,-2.307601,3.848797,6.270162
50,0.683778,2.612967,6.373147
60,2.838098,1.744772,6.241421
70,4.802014,0.819097,6.680907
80,5.860613,0.134121,8.2233
90,5.228328,0.113763,10.139316
100,-0.061073,1.415457,13.782141
110,-3.064428,1.83219,15.689774
120,-4.990024,1.482517,18.015337
130,-5.52052,0.320933,20.486998
140,-4.369713,-1.967509,22.902376
150,1.186732,-5.831873,25.66503
160,3.220104,-6.428233,25.58839
170,4.346961,-6.498886,24.666307
180,4.249962,-6.219866,23.11673
190,3.670367,-6.140831,21.403093
200,2.988985,-5.889353,18.673967
210,1.381926,-4.682263,17.806971
220,0.732876,-4.333788,17.465681
230,0.080233,-3.908672,17.333954
240,-0.962798,-3.078798,16.91363
250,-2.238146,-2.105222,15.882573
260,-3.556604,-1.502875,13.698315
270,-3.579357,-0.851429,13.016932
280,-3.566184,-0.741259,12.074492
290,-3.204536,-0.919688,10.759625
300,-2.797383,-1.228645,9.862691
310,-2.559078,-0.940045,8.490345
320,-3.036885,-0.471819,7.297625
330,-3.368595,-0.276625,6.222261
340,-3.442841,-0.320933,5.589976
350,-3.544629,-0.26465,5.081034
360,-3.260819,0.136516,3.368595
370,-2.857258,0.276625,2.584226
380,-2.381847,0.164059,2.081272
390,-2.252516,0.201182,1.308878
400,-2.40939,0.423918,0.383203
410,-2.454895,0.281415,-1.023871
420,-2.220183,0.104183,-1.2502
430,-1.917213,0.050295,-1.228645
440,-1.203497,-0.270637,-1.122067
450,-0.779579,0.015568,-1.328038
460,-0.655038,-0.437091,-1.719624
470,0.285007,-0.443079,-2.099235
480,0.573607,-0.526904,-2.302811
490,1.410667,0.686173,-2.626139
500,1.241818,-0.021555,-3.147056
510,1.128054,-0.716111,-2.436933
520,1.409469,0.016765,-4.348158
530,0.810714,-0.919688,-3.9913
540,0.33171,-0.233514,-3.676355
550,-0.098196,-0.144899,-3.056045
560,-0.215552,0.070653,-2.20222
570,-0.325723,-0.190404,0.282612
580,-0.500559,-0.389191,1.607058
590,-0.874182,-0.414338,2.972219
600,-1.275348,-0.337698,4.381689
610,-1.611848,-0.55804,5.479805
620,-2.311194,-1.292113,6.233038
630,-2.369872,-1.771117,6.186336
640,-2.136358,-2.132765,6.375542
650,-1.447789,-2.412982,7.377858
660,-0.701741,-2.856061,8.873548
670,-0.781974,-3.319497,12.365486
680,-1.046624,-3.500321,14.262341
690,-1.219065,-3.531456,15.929276
700,-1.213077,-3.478766,17.12439
710,-0.726888,-3.433261,17.686022
720,1.496887,-3.382965,17.65369
730,2.304009,-3.147056,17.287252
740,2.674039,-2.808161,16.637003
750,2.542313,-2.403402,15.843055
760,2.089655,-1.939966,15.108981
770,1.626218,-1.380729,14.274317
780,0.907712,-0.517324,14.156961
790,1.025068,-0.427511,14.153369
800,1.531615,-0.510139,14.394068
810,2.190245,-0.628693,14.844332
820,2.823728,-0.604742,15.25867
830,3.99609,-0.771196,16.251406
840,4.361331,-0.876577,16.876505
850,5.355264,-0.892145,16.609461
860,4.634363,-1.110092,16.498093
870,4.237987,-0.522114,17.113613
880,3.992498,0.098196,16.431032
890,3.372188,0.487386,16.05262
900,2.794988,0.504152,16.276554
910,2.71715,0.444276,16.823816
920,3.069218,0.189207,17.405806
930,3.032095,0.243094,18.362616
940,2.350712,0.152084,18.63924
950,1.847758,-0.154479,18.998493
960,1.437012,-0.785566,19.561323
970,1.014291,-1.056204,20.447479
980,0.055085,-1.011896,22.115612
990,-0.287402,-0.895737,22.256918
1000,-0.657433,-0.926873,22.291645
1010,-0.993933,-0.996328,21.977898
1020,-1.289718,-0.816702,21.078568
1030,-1.472937,-0.502954,18.320704
1040,-1.456172,-0.510139,17.120798
1050,-1.324446,-0.476609,15.9652
1060,-1.368754,-0.201182,14.561719
1070,-1.496887,0.244292,12.957056
1080,-1.700464,0.443079,11.444601
1090,-1.653761,0.31734,9.150172
1100,-1.639391,0.180824,8.054451
1110,-1.377136,0.310155,7.03058
1120,-0.943638,0.547262,6.163583
1130,-0.525707,0.761616,5.422325
1140,0.02395,1.125659,4.506229
1150,0.075443,1.320853,4.228407
1160,-0.053888,1.501677,3.873944
1170,-0.106578,1.531615,3.314707
1180,0.035925,1.289718,2.533931
1190,0.373623,1.371149,1.16398
1200,0.36045,1.53401,0.772394
1210,0.226329,1.694476,0.416733
1220,0.129331,1.777105,0.244292
1230,0.098196,1.645378,0.386796
1240,-0.246687,1.492097,0.286205
1250,-0.440684,1.728007,-0.238304
1260,-0.640668,1.960324,-0.965193
1270,-0.711321,2.036964,-1.55796
1280,-0.560435,1.81303,-2.015409
1290,0.071851,1.380729,-2.585424
1300,0.392783,1.359174,-2.864444
1310,0.526904,1.232238,-3.016527
1320,0.502954,1.180745,-2.906356
1330,0.354463,0.968785,-2.713557
1340,0.095801,0.779579,-2.954257
1350,-0.342488,0.489782,-2.811753
1360,-0.571212,0.359253,-2.635719
1370,-0.717308,0.214354,-2.329157
1380,-0.742456,0.073048,-1.907633
1390,-0.742456,-0.044308,-1.379531
1400,-0.734074,-0.409548,-0.124541
1410,-0.246687,-0.910107,0.554447
1420,0.494572,-1.362766,1.507665
1430,1.005908,-1.717229,2.713557
1440,1.361569,-2.226171,4.152964
