timestamp_ms,acc_x,acc_y,acc_z
0,1.551973,0.199984,12.105627
10,1.433419,0.101788,12.648099
20,0.998723,0.113763,13.06603
30,-0.114961,0.156874,13.004956
40,-0.445474,0.155676,12.364289
50,-0.554447,0.313748,11.370356
60,-0.6251,0.592767,10.247091
70,-0.699346,0.890947,9.220825
80,-0.987946,1.17356,7.699988
90,-1.22625,1.141227,7.283255
100,-1.468147,1.092129,7.161108
110,-1.465752,1.058599,7.086863
120,-1.108894,1.046624,7.283255
130,-0.599952,0.85622,8.225695
140,-0.706531,0.546064,8.92504
150,-1.095721,0.143701,9.562116
160,-1.53401,-0.147294,10.075848
170,-1.626218,-0.276625,10.484199
180,-0.938848,-0.191602,11.068583
190,-0.528102,-0.136516,11.191927
200,-0.188009,0.003593,11.146421
210,0.27423,0.192799,10.815908
220,0.716111,0.313748,10.297387
230,0.975971,0.828677,9.195678
240,0.706531,1.118474,8.709489
250,0.410746,1.234633,8.314311
260,0.305365,1.372346,7.971823
270,0.164059,1.674119,7.744296
280,-0.015568,1.948349,7.595805
290,-0.106578,2.17348,7.494017
300,0.007185,2.295626,7.552694
310,0.216749,2.293231,7.58862
320,0.313748,2.290836,7.59341
330,0.186812,2.387835,7.589817
340,-0.511337,2.508783,7.640112
350,-0.804727,2.435735,7.711963
360,-0.895737,2.379452,7.856862
370,-0.871787,2.342329,8.116721
380,-0.822689,2.344724,8.49274
390,-0.490979,2.217788,9.305849
400,-0.031135,2.223776,9.608819
410,0.452659,2.283651,9.914184
420,0.767604,2.339934,10.306967
430,0.740061,2.298021,10.757231
440,-0.211959,2.156715,11.227852
450,-0.743654,2.086062,11.145224
460,-1.014291,2.014211,10.825489
470,-0.94244,2.053729,10.324929
480,-0.813109,2.099235,9.877061
490,-0.61552,2.315984,9.594449
500,-0.429906,2.153123,9.685459
510,-0.158071,2.098037,9.914184
520,0.120948,1.950743,10.196796
530,0.182021,1.816622,10.362053
540,-0.00479,1.641786,10.200389
550,-0.435894,1.561553,9.827963
560,-0.568817,1.492097,9.44955
570,-0.698148,1.446592,9.230406
580,-0.831072,1.208287,9.269923
590,-0.890947,0.985551,9.492661
600,-0.524509,0.463436,10.203981
610,-0.164059,0.301772,10.542876
620,0.02874,0.148491,10.867401
630,0.087418,-0.055085,11.127261
640,0.00958,-0.210762,11.32964
650,0.058678,-0.367636,11.630216
660,0.368833,-0.473016,11.652968
670,0.638273,-0.457449,11.615846
680,0.702938,-0.376018,11.478131
690,0.707728,-0.239502,11.170372
700,0.795147,0.123344,10.224339
710,0.560435,0.477806,9.639954
720,0.148491,0.774789,8.988508
730,-0.215552,0.953218,8.301138
740,-0.443079,1.110092,7.662865
750,-0.661025,1.372346,6.878496
760,-0.90412,1.434617,6.791078
770,-1.125659,1.369951,6.922804
780,-1.237028,1.271755,7.242539
790,-1.266965,0.853824,7.65089
800,-0.387993,0.611928,8.842413
810,-0.344883,0.398771,9.398057
820,-0.227527,0.253872,9.85311
830,-0.056283,0.102986,10.259067
840,0.00479,0.001198,10.587184
850,-0.184417,-0.190404,10.962005
860,-0.87059,-0.64426,11.019485
870,-1.034649,-0.792751,10.96919
880,-0.968785,-0.876577,10.845846
890,-0.717308,-0.930465,10.632689
900,-0.262255,-0.901725,10.31535
910,0.851429,-0.657433,9.692644
920,1.107697,-0.578397,9.475895
930,1.155597,-0.540077,9.272319
940,0.934058,-0.441881,9.016051
950,0.500559,-0.405956,8.733439
960,-0.318538,-0.361648,8.418494
970,-0.384401,-0.354463,8.435259
980,-0.2886,-0.362845,8.486753
990,-0.170046,-0.287402,8.534653
1000,-0.102986,-0.2886,8.547825
1010,-0.001198,-0.228724,8.611293
1020,0.022753,-0.210762,8.883128
1030,-0.122146,-0.199984,9.341774
1040,-0.358055,-0.241897,9.799223
1050,-0.646655,-0.399968,10.145303
1060,-1.055006,-0.700543,10.534493
1070,-0.990341,-0.738864,10.633887
1080,-0.866997,-0.756826,10.800341
1090,-0.831072,-0.810714,10.948833
1100,-0.888552,-0.960403,10.967993
1110,-0.955613,-1.005908,10.407557
1120,-1.120869,-0.863405,9.953702
1130,-1.312471,-0.681383,9.517808
1140,-1.420247,-0.595162,9.105865
1150,-1.369951,-0.5772,8.873548
1160,-1.162782,-0.753234,8.763377
1170,-0.688568,-0.990341,8.81487
1180,-0.640668,-0.92328,9.150172
1190,-0.651445,-0.823887,9.75731
1200,-0.295785,-0.953218,10.514136
1210,0.548459,-1.094524,11.156001
1220,2.618954,-0.9616,11.502082
1230,3.167413,-0.696951,11.338023
1240,3.178191,-0.550855,11.078163
1250,2.785408,-0.450264,10.734478
1260,2.105222,-0.26465,10.405163
1270,0.574805,-0.592767,10.061478
1280,0.041913,-0.64426,10.130933
1290,-0.064666,-0.736469,10.384805
1300,0.132924,-0.892145,10.757231
1310,0.434696,-1.010698,11.104508
1320,0.499362,-1.019081,11.212284
1330,0.25028,-0.843047,11.053016
1340,0.095801,-0.771196,10.875784
1350,-0.101788,-0.742456,10.732083
1360,-0.516127,-0.849034,10.579999
1370,-1.687291,-1.201102,10.090218
1380,-2.033372,-1.317261,9.638757
1390,-1.998644,-1.477727,9.1849
1400,-1.742377,-1.472937,8.909473
1410,-1.281335,-1.52443,8.939411
1420,-0.522114,-1.647774,9.481883
1430,1.088536,-1.398691,9.765693
1440,1.547183,-1.263373,9.865086
1450,1.587898,-1.098117,9.796828
1460,1.300496,-0.998723,9.50224
1470,0.783171,-0.831072,9.092692
1480,-0.344883,-0.608335,8.479567
1490,-0.898132,-0.63468,8.368198
1500,-1.421444,-0.645458,8.323891
1510,-1.592688,-0.57241,8.2712
1520,-1.26457,-0.502954,8.291558
1530,0.049098,-0.210762,8.832832
1540,0.621508,-0.03832,9.029224
1550,1.056204,0.160466,9.051977
1560,1.407074,0.273032,8.905881
1570,1.58191,0.538879,8.672366
1580,2.028582,1.119672,8.224498
1590,2.20222,1.26936,8.078402
1600,2.032174,1.371149,8.029304
1610,1.648971,1.397494,8.085587
1620,1.27415,1.198707,8.186177
1630,1.493295,1.215472,7.892787
1640,2.057322,1.301693,7.691606
1650,2.6932,1.47653,7.664063
1660,3.138673,1.550775,7.86764
1670,3.311115,1.658551,8.382568
1680,3.388953,1.810635,9.884246
1690,3.696713,2.281256,10.550061
1700,3.764971,2.700385,11.00272
1710,3.615282,3.00096,11.203902
1720,3.239264,3.211721,11.242222
1730,2.664459,3.301535,11.231444
1740,1.484912,3.132686,11.227852
1750,1.111289,3.0776,11.197914
1760,0.981958,2.927912,11.114089
1770,0.954415,2.754272,10.855427
1780,0.702938,2.809358,10.520123
1790,-0.123344,2.833308,9.782457
1800,-0.526904,2.608176,9.642349
1810,-0.877775,2.48603,9.424402
1820,-1.287323,2.396217,8.956176
1830,-1.88009,2.259701,8.241262
1840,-3.37099,2.1639,6.601871
1850,-3.665578,2.259701,6.175558
1860,-3.67396,2.211801,5.855823
1870,-3.00575,2.311194,5.968389
1880,-2.171085,2.335144,6.350395
1890,-0.556842,2.13995,7.385043
1900,-0.069456,2.030977,7.652088
1910,0.221539,2.094445,7.731123
1920,0.395178,2.189048,7.91554
1930,0.404758,1.936373,8.392149
1940,0.902922,1.2502,10.132131
1950,1.404679,1.040636,10.975178
1960,1.912423,0.919688,11.521242
1970,2.344724,0.87059,11.704461
1980,2.869234,0.779579,11.629018
1990,3.343447,1.17835,10.951227
2000,3.400928,1.157992,10.506951
2010,3.026107,1.217867,10.047108
2020,2.474055,1.262175,9.691447
2030,1.834585,1.217867,9.501043
2040,1.405877,1.110092,9.466315
2050,0.820294,1.371149,9.75731
2060,0.65384,1.504072,9.817185
2070,0.792751,1.528023,9.845925
2080,1.056204,1.469344,9.83874
2090,1.335223,1.381926,9.740545
2100,1.234633,1.602268,8.84361
2110,0.882565,1.622626,8.258028
2120,0.609532,1.656156,7.859257
2130,0.354463,1.683699,7.727531
2140,0.226329,1.545985,7.813752
2150,0.25507,1.319656,8.614885
2160,0.234712,1.104104,9.224418
2170,0.301772,0.882565,9.777668
2180,0.517324,0.807122,10.232721
2190,0.895737,0.827479,10.568024
2200,1.398691,0.887355,10.800341
2210,1.251398,0.91849,10.655442
2220,0.895737,0.95202,10.32014
2230,0.36524,0.985551,9.956097
2240,-0.239502,1.044229,9.617202
2250,-1.032254,0.844244,8.950189
2260,-1.233435,0.775986,8.774155
2270,-1.335223,0.740061,8.758587
2280,-1.225053,0.645458,8.976534
2290,-0.874182,0.452659,9.465117
2300,-0.570015,0.568817,10.311757
2310,-0.611928,0.717308,10.511742
2320,-0.844244,0.571212,10.432706
2330,-1.050216,0.36524,10.235116
2340,-1.196312,0.046703,10.146501
2350,-1.377136,-0.258662,10.285412
2360,-1.623823,-0.777184,11.044633
2370,-1.592688,-1.021476,11.496095
2380,-1.407074,-1.284928,11.927197
2390,-1.027463,-1.312471,12.367882
2400,-0.506547,-1.093326,12.680431
2410,0.04311,-0.607138,12.776232
2420,0.045505,-0.540077,12.353511
2430,-0.135319,-0.387993,11.430231
2440,-0.475411,-0.068258,10.274634
2450,-1.004711,0.156874,9.244776
2460,-2.278861,-0.146096,7.99218
2470,-2.573449,-0.367636,7.703581
2480,-2.573449,-0.433499,7.625742
2490,-2.277664,-0.410746,7.659273
2500,-1.701661,-0.240699,7.796987
2510,-0.568817,-0.026345,8.475974
2520,-0.368833,-0.100591,8.687934
2530,-0.262255,-0.017963,8.654404
2540,-0.173639,0.050295,8.428074
2550,-0.172441,0.273032,8.098759
