timestamp_ms,acc_x,acc_y,acc_z
0,0.228724,-0.556842,9.611214
10,0.210762,-0.511337,9.551338
20,0.25028,-0.489782,9.554931
30,0.27902,-0.459844,9.514215
40,0.178429,-0.60115,9.672287
50,0.299377,-0.440684,9.485476
60,0.168849,-0.62031,9.667497
70,0.267045,-0.445474,9.467513
80,0.246687,-0.483794,9.486672
90,0.183219,-0.623903,9.653127
100,0.263452,-0.475411,9.523795
110,0.186812,-0.583187,9.669891
120,0.249082,-0.459844,9.530981
130,0.235909,-0.505349,9.559721
140,0.217947,-0.564027,9.601634
150,0.234712,-0.55325,9.572893
160,0.241897,-0.566422,9.586066
170,0.25028,-0.550855,9.562116
180,0.239502,-0.536484,9.608819
190,0.234712,-0.496967,9.601634
200,0.222737,-0.531694,9.625584
210,0.225132,-0.476609,9.532178
220,0.196392,-0.554447,9.588461
230,0.216749,-0.556842,9.542955
240,0.244292,-0.547262,9.553733
250,0.227527,-0.550855,9.590857
260,0.229922,-0.502954,9.584868
270,0.221539,-0.502954,9.594449
280,0.229922,-0.517324,9.588461
290,0.227527,-0.556842,9.587264
300,0.229922,-0.564027,9.566906
310,0.226329,-0.56762,9.588461
320,0.232317,-0.532892,9.574091
330,0.226329,-0.529299,9.584868
340,0.217947,-0.523312,9.606423
350,0.216749,-0.534089,9.589659
360,0.215552,-0.546064,9.584868
370,0.229922,-0.547262,9.564511
380,0.228724,-0.570015,9.580078
390,0.226329,-0.538879,9.595646
400,0.239502,-0.525707,9.599238
410,0.225132,-0.513732,9.596844
420,0.231119,-0.517324,9.589659
430,0.228724,-0.534089,9.598042
440,0.213157,-0.550855,9.572893
450,0.220342,-0.555645,9.565708
460,0.215552,-0.547262,9.568104
470,0.228724,-0.531694,9.574091
480,0.238304,-0.530497,9.578881
490,0.231119,-0.524509,9.608819
500,0.240699,-0.530497,9.594449
510,0.227527,-0.542472,9.586066
520,0.227527,-0.552052,9.586066
530,0.219144,-0.554447,9.582474
540,0.216749,-0.556842,9.571696
550,0.222737,-0.529299,9.583671
560,0.228724,-0.525707,9.599238
570,0.221539,-0.516127,9.594449
580,0.219144,-0.518522,9.586066
590,0.221539,-0.534089,9.583671
600,0.221539,-0.56283,9.565708
610,0.227527,-0.568817,9.577683
620,0.227527,-0.549657,9.580078
630,0.231119,-0.529299,9.584868
640,0.214354,-0.514929,9.595646
650,0.220342,-0.534089,9.594449
660,0.221539,-0.525707,9.582474
