timestamp_ms,acc_x,acc_y,acc_z
0,-0.541274,1.723217,0.208367
10,0.001198,2.074087,0.62989
20,0.580792,1.935176,1.850153
30,2.503993,1.123264,3.754193
40,3.09676,0.781974,3.784131
50,3.290757,0.542472,3.018922
60,3.194956,0.120948,1.850153
70,3.363805,0.130529,0.958008
80,4.083508,0.367636,-0.222737
90,3.828439,0.717308,-0.565225
100,3.524271,1.396297,-0.392783
110,2.748285,2.050137,0.010778
120,1.568738,2.749483,-0.170046
130,-0.368833,2.827321,-1.556763
140,-0.435894,2.615361,-1.765129
150,-0.132924,2.268084,-1.18314
160,0.100591,1.809437,0.161664
170,-0.062271,1.320853,1.627416
180,-0.954415,0.677791,3.263214
190,-1.140029,0.838257,3.07281
200,-1.125659,0.965193,2.235751
210,-0.845442,1.045426,0.898132
220,-0.422721,1.086141,-0.614323
230,-0.063468,1.335223,-3.372188
240,-0.073048,1.501677,-4.594845
250,-0.6251,1.602268,-5.563631
260,-1.306483,1.5388,-5.589976
270,-1.733994,1.472937,-3.475173
280,-2.062112,1.516047,0.790356
290,-3.982918,1.059796,12.213403
300,-4.750522,0.746049,17.44652
310,-5.316944,0.940045,20.877386
320,-5.750442,0.990341,21.912035
330,-5.245093,0.985551,21.13006
340,-2.10642,1.289718,19.691851
350,-1.683699,1.363964,19.94692
360,-1.920806,1.225053,20.139721
370,-2.07289,1.078956,20.095411
380,-1.967509,0.931663,20.283421
390,-1.451382,0.207169,21.865332
400,-1.289718,-0.124541,22.503605
410,-1.051414,-0.396376,22.478456
420,-0.759221,-0.349673,21.310884
430,-0.597557,0.179626,19.272722
440,-1.064586,1.786685,14.6671
450,-1.678909,2.412982,12.998969
460,-2.205813,2.610571,11.837384
470,-2.46208,2.46208,11.118878
480,-2.41897,2.220183,10.841057
490,-1.427432,1.174757,10.793156
500,-0.825084,0.690963,10.850636
510,-0.92328,0.808319,10.882969
520,-1.047821,1.062191,10.529704
530,-0.761616,1.639391,10.420731
540,-2.254911,1.723217,10.479408
550,-3.156636,2.086062,10.057885
560,-3.269202,2.557881,9.369317
570,-3.197351,2.692002,8.717872
580,-2.945874,2.775828,8.287966
590,-2.860851,2.633324,8.133487
600,-2.818938,1.722019,8.182585
610,-2.284849,1.410667,8.298743
620,-1.888473,1.629811,8.440049
630,-1.83219,2.299219,8.405321
640,-2.129173,3.120711,8.229287
650,-3.012935,4.351751,8.459209
660,-3.542234,4.507427,9.335787
670,-4.027225,4.386478,10.606344
680,-4.214037,3.872747,11.848162
690,-4.059558,3.248844,12.698394
700,-2.527943,2.362687,12.898378
710,-1.17835,2.007026,12.275673
720,-0.013173,2.093247,11.444601
730,0.623903,2.398612,10.632689
740,0.94723,2.897974,10.071057
750,0.300575,3.487149,9.873468
760,-0.735271,3.875142,9.82437
770,-1.747167,3.841611,9.812395
780,-2.551893,3.553012,9.497451
790,-2.781815,3.359015,9.223221
800,-2.580634,2.350712,9.168135
810,-0.524509,1.636996,9.135802
820,0.707728,1.181942,8.944201
830,1.610651,0.969983,8.606503
840,2.105222,1.023871,8.168215
850,2.270479,1.055006,7.63652
860,2.110012,0.997526,6.173163
870,2.105222,1.135239,5.282216
880,2.42376,1.098117,4.373306
890,2.840493,1.193917,3.622467
900,2.228566,2.520758,3.120711
910,2.99617,2.944677,4.302653
920,1.858535,2.924319,5.088219
930,0.340093,3.588937,5.983956
940,-0.852627,4.121829,6.638994
950,-1.375939,3.915857,7.292835
960,-0.474214,2.883604,8.527468
970,0.561632,2.48124,9.192085
980,1.716032,1.747167,9.447155
990,3.142266,0.779579,8.970546
1000,5.45346,1.626218,8.863968
1010,7.08806,1.609453,7.446116
1020,5.904921,2.272874,6.40548
1030,4.754114,2.429747,5.750442
1040,3.339855,3.199746,5.49178
1050,1.804647,3.590134,5.502558
1060,-0.150886,3.941005,5.50615
1070,-0.050295,4.095484,5.957612
1080,0.815504,4.102669,6.721622
1090,1.472937,4.249962,7.507189
1100,2.048939,3.96256,8.199349
1110,2.577041,3.541037,9.007668
1120,3.513494,3.171006,9.067544
1130,3.744613,3.124303,8.565787
1140,3.730243,3.016527,7.837702
1150,3.314707,3.412903,7.213799
1160,2.675237,3.816464,6.801856
1170,1.19751,3.901487,7.132369
1180,0.532892,3.921845,7.870035
1190,0.144899,3.743416,8.570578
1200,0.143701,3.36141,9.041199
1210,0.59636,2.823728,9.348959
1220,2.503993,1.249003,10.229129
1230,3.09197,0.828677,10.793156
1240,3.014132,0.914898,11.207495
1250,2.532733,1.166375,11.509267
1260,1.997446,1.402284,11.880495
1270,1.88488,1.23583,13.351037
1280,2.10163,0.911305,14.215639
1290,2.312392,0.641865,14.785654
1300,2.545906,0.602347,15.044316
1310,2.826123,0.633483,15.120956
1320,3.388953,0.459844,15.500567
1330,3.374583,0.417931,15.831079
1340,3.051255,0.398771,16.130457
1350,2.587819,0.30776,16.36517
1360,2.099235,0.150886,16.53282
1370,1.48611,0.105381,15.956819
1380,0.57241,0.021555,15.129339
1390,0.462239,0.049098,14.207256
1400,0.371228,0.226329,13.014537
1410,0.267045,0.337698,11.549982
1420,0.201182,0.486189,10.120155
1430,0.064666,0.827479,8.198153
1440,-0.110171,0.983156,7.65089
1450,-0.386796,1.131647,7.140751
1460,-0.671803,1.239423,6.569539
1470,-0.919688,1.407074,6.04503
1480,-1.2023,1.742377,5.441484
1490,-1.18793,1.724414,5.416337
1500,-1.045426,1.525627,5.445077
1510,-0.86101,1.293311,5.451065
1520,-0.58678,1.044229,5.430707
1530,0.083826,0.480201,5.267846
1540,0.468226,0.186812,5.065466
1550,0.656235,0.134121,4.774472
1560,0.613125,0.229922,4.269123
1570,0.396376,0.358055,3.550617
1580,-0.271835,0.86101,2.235751
1590,-0.607138,1.189127,1.766327
1600,-0.938848,1.359174,1.415457
1610,-1.20709,1.340014,1.112487
1620,-1.346001,1.325643,0.809517
1630,-1.003513,0.741259,0.511337
1640,-0.407153,-0.034728,0.308958
1650,0.352068,-0.805924,0.186812
1660,1.116079,-1.348396,0.556842
1670,1.665736,-1.496887,1.672921
1680,1.716032,-1.25499,5.976771
1690,0.026345,-0.368833,8.745414
1700,-1.359174,0.065863,11.219469
1710,-2.293231,0.306563,12.82533
1720,-2.44292,0.232317,13.299544
1730,-1.939966,-0.040715,13.08998
1740,1.074166,-1.051414,12.983401
1750,2.373464,-1.610651,13.983322
1760,3.178191,-1.908831,15.374828
1770,3.539839,-2.12558,16.346008
1780,3.509901,-1.961521,16.508871
1790,3.233277,-1.360371,15.495777
1800,2.844086,-1.070574,15.208375
1810,2.293231,-0.88975,15.045513
1820,2.053729,-0.740061,14.814394
1830,2.12079,-0.583187,14.518609
