timestamp_ms,acc_x,acc_y,acc_z
0,1.032254,-0.827479,7.337142
10,0.489782,-0.123344,7.003037
20,0.390388,0.186812,7.653285
30,0.513732,0.128134,8.108339
40,0.724493,0.03832,8.401729
50,0.87538,-0.025148,8.551417
60,0.746049,0.077838,8.565787
70,0.57241,0.282612,8.813672
80,0.3365,1.146017,9.148975
90,0.173639,1.310076,9.342972
100,-0.010778,1.343606,9.22801
110,0.003593,1.641786,8.8963
120,0.240699,2.294429,8.771759
130,0.549657,2.49561,8.011341
140,0.484991,2.416575,7.331155
150,0.391586,2.441723,6.77551
160,0.305365,2.483635,6.630612
170,0.148491,2.40939,7.03058
180,-0.361648,1.565145,8.413704
190,-0.814307,1.302891,8.298743
200,-1.20709,1.144819,7.377858
210,-1.330433,1.281335,5.970784
220,-1.48611,1.52443,4.59245
230,-1.790277,1.51485,3.151846
240,-1.751957,1.584306,2.924319
250,-1.252595,1.823807,2.911146
260,-0.590372,2.318379,3.054847
270,-0.256267,1.998644,2.796185
280,-0.343685,1.571133,2.659669
290,-0.825084,1.550775,2.896776
300,-1.302891,1.305286,3.113526
310,-1.483715,1.138832,2.954257
320,-1.417852,1.217867,2.234553
330,-1.071771,1.528023,0.205972
340,-1.48132,1.419049,-0.304167
350,-2.13995,1.063389,-0.673001
360,-2.674039,0.699346,-1.020278
370,-2.683619,-0.010778,-1.728007
380,-1.987866,-0.183219,-4.614005
390,-0.36524,-0.231119,-5.768405
400,-0.186812,-0.122146,-6.246211
410,-0.287402,0.273032,-5.892946
420,-0.486189,0.02874,-5.154082
430,-0.371228,-0.785566,-4.454737
440,0.105381,-1.191522,-4.543352
450,0.227527,-1.169967,-6.411468
460,0.349673,-1.735192,-9.602831
470,0.532892,-3.076403,-13.279186
480,1.346001,-4.612808,-16.22027
490,2.294429,-3.754193,-15.164067
500,1.401086,-5.658234,-9.823173
510,1.390309,-8.504715,-0.179626
520,2.901566,-12.036171,12.948673
530,4.443959,-16.15321,27.072104
540,6.513256,-13.461207,34.769699
550,5.43909,-9.049582,29.821587
560,6.249804,-7.990983,25.734486
570,7.321575,-7.740704,25.437504
580,5.143305,-7.739506,27.203831
590,-6.125263,-6.617439,31.041849
600,-10.357263,-6.264174,33.166233
610,-11.891273,-6.289321,34.645157
620,-10.081835,-6.060597,34.657131
630,-5.500163,-4.733757,33.600929
640,-0.617915,-2.897974,32.017818
650,4.912185,-2.901566,31.967525
660,4.907395,-2.257306,31.362782
670,3.791316,-1.517245,29.38689
680,2.411785,-0.846639,26.372759
690,0.755629,-0.171244,23.484365
700,-2.477648,0.379611,19.678679
710,-3.269202,0.483794,18.847607
720,-3.299139,0.056283,18.609303
730,-2.406995,-0.049098,18.792522
740,-0.938848,-0.399968,18.92305
750,1.136437,-1.24541,18.19257
760,1.401086,-1.506467,17.306412
770,1.055006,-1.84177,16.32206
780,0.124541,-1.892066,15.657441
790,-0.996328,-2.49561,15.410754
800,-2.242936,-3.3662,14.131813
810,-2.084865,-3.591332,12.561878
820,-1.518442,-3.588937,10.918895
830,-0.523312,-3.466791,9.388477
840,0.399968,-3.446433,7.914342
850,0.701741,-3.097958,5.152885
860,0.362845,-3.185376,3.960165
870,-0.032333,-3.06802,2.99617
880,0.022753,-2.830913,2.483635
890,0.383203,-2.668052,2.478845
900,0.968785,-2.526746,3.95298
910,1.136437,-2.276466,5.094207
920,0.93765,-2.013014,6.290519
930,0.785566,-2.014211,7.232959
940,0.892145,-1.857338,7.62694
950,0.833467,-1.336421,6.000721
960,-0.522114,-0.614323,4.21284
970,-1.310076,-0.215552,2.503993
980,-1.745969,0.299377,1.579515
990,-1.88967,0.784369,1.597478
1000,-1.741179,1.087339,2.372267
1010,-0.604742,1.475332,5.546865
1020,-0.176034,1.24062,7.02579
1030,0.035925,0.845442,8.210127
1040,0.162861,0.926873,9.060359
1050,0.244292,1.337618,9.50224
1060,0.334105,1.501677,8.678353
1070,0.338895,1.869313,7.624545
1080,0.017963,2.10642,6.580317
1090,-0.661025,2.12558,5.610333
1100,-1.513652,2.09205,4.775669
1110,-2.639312,1.87051,3.220104
1120,-2.889591,1.804647,2.695595
1130,-3.108736,1.85135,2.450105
1140,-3.221301,1.801055,2.434537
1150,-2.993775,1.359174,2.48124
1160,-2.020199,1.501677,2.658472
1170,-1.862128,1.444197,2.826123
1180,-1.981879,1.24541,3.355422
1190,-2.483635,1.008303,3.955375
1200,-3.130291,0.543669,4.085904
1210,-3.325485,0.554447,2.137555
1220,-1.993854,0.708926,0.821492
1230,-0.888552,0.535287,-0.098196
1240,-0.180824,0.689766,-0.667013
1250,-0.016765,0.616718,-1.360371
1260,0.064666,0.407153,-2.670447
1270,0.378413,1.140029,-6.183941
1280,0.61073,0.311353,-8.628058
1290,0.579595,-2.12558,-11.745176
1300,0.146096,-3.078798,-15.208375
1310,-0.656235,-3.563789,-18.656006
1320,-0.463436,-2.517166,-22.694008
1330,0.793949,-2.612967,-21.552782
1340,2.612967,-4.604425,-17.838106
1350,4.184099,-7.369475,-12.533137
1360,5.209167,-10.047108,-7.061716
1370,6.786288,-12.862453,1.584306
1380,6.05461,-13.179793,4.230802
1390,4.403244,-14.025235,6.915619
1400,3.841611,-14.553337,11.82062
1410,4.113446,-14.988033,20.593576
1420,0.046703,-18.469194,39.23521
1430,-2.785408,-16.902851,39.23521
1440,-4.700226,-14.111456,39.23521
1450,-4.845125,-11.593093,39.23521
1460,-2.448908,-9.129815,36.571949
1470,3.975733,-6.834188,39.23521
1480,4.697831,-6.95873,39.23521
1490,4.130211,-5.489385,39.23521
1500,4.186494,-4.676276,35.024769
1510,4.528982,-2.961442,28.816875
1520,4.750522,-2.680027,23.892715
1530,2.984195,-4.095484,23.652016
1540,1.338816,-5.122947,23.032904
1550,0.141306,-5.76601,21.570744
1560,-0.568817,-6.029462,19.597248
1570,-1.311273,-6.488108,17.727936
1580,-3.816464,-7.047345,16.041842
1590,-5.12654,-7.144343,15.714921
1600,-5.80433,-6.965915,15.017971
1610,-5.340894,-6.700068,13.828843
1620,-4.00088,-5.934859,12.353511
1630,-0.495769,-4.220025,10.414742
1640,0.869392,-3.758983,10.612332
1650,1.912423,-3.529061,10.977572
1660,2.666854,-3.271597,10.922487
1670,3.113526,-2.566263,10.532099
1680,3.810476,-1.748364,10.28661
1690,3.848797,-1.263373,10.568024
1700,3.644022,-1.286126,10.594369
1710,3.173401,-1.314866,10.077045
1720,2.848876,-1.093326,8.946596
1730,2.675237,-0.65863,6.625822
1740,2.312392,-0.422721,6.177953
1750,2.136358,-0.359253,6.352789
1760,2.371069,-0.511337,6.859336
1770,2.538721,-0.519719,7.460486
1780,2.785408,-0.344883,8.696317
1790,3.367398,-0.443079,9.004076
1800,3.40931,-0.626298,8.538245
1810,3.536247,-0.542472,7.432943
1820,3.251239,-0.101788,6.152805
1830,2.417772,0.085023,5.051096
1840,0.946033,0.177231,4.477489
1850,1.390309,0.32692,4.926555
1860,2.205813,0.391586,5.549261
1870,2.896776,0.652643,6.100115
1880,3.222499,0.500559,6.149213
1890,2.840493,0.700543,4.963678
1900,2.732718,0.929268,4.32301
1910,2.757865,0.97118,3.891907
1920,2.605781,1.204695,3.398533
1930,2.610571,1.23583,2.775828
1940,2.299219,1.251398,2.531536
1950,0.849034,1.640588,3.059638
1960,-1.144819,1.602268,3.748206
1970,-2.796185,1.494492,4.588858
1980,-3.359015,1.738784,5.340894
1990,-1.869313,2.010619,6.489305
2000,-0.517324,1.966311,6.821016
2010,0.66342,1.947151,7.456893
2020,1.323248,2.07768,8.440049
2030,1.2023,2.064507,9.562116
2040,-0.692161,1.401086,11.02667
2050,-1.489702,1.688489,11.108101
2060,-2.257306,1.778302,10.563234
2070,-2.830913,1.919608,9.648336
2080,-2.933899,2.302811,8.699909
2090,-2.591411,2.913541,7.933503
2100,-1.772315,2.735112,8.081994
2110,-1.638193,2.47645,8.297545
2120,-1.328038,2.434537,8.56459
2130,-0.967588,2.836901,8.911868
2140,-0.724493,2.772235,9.140593
2150,-0.850232,2.39981,9.031619
2160,-1.295706,2.089655,8.871153
2170,-2.050137,2.038162,9.11305
2180,-2.817741,1.730402,9.837543
2190,-3.017725,1.169967,10.839859
2200,-1.654959,0.662223,12.087664
2210,-0.759221,0.61552,11.761941
2220,0.051493,0.938848,11.076965
2230,0.468226,1.027463,10.247091
2240,0.585582,1.350791,9.604029
2250,0.722098,1.700464,8.733439
2260,0.999921,2.258503,8.429272
2270,1.060994,2.460883,8.152647
2280,0.742456,2.315984,7.814949
2290,-0.27902,2.260899,7.519164
2300,-3.294349,2.147135,7.440128
2310,-4.368516,2.192641,7.814949
2320,-4.653523,2.098037,8.246053
2330,-3.926635,1.895658,8.504715
2340,-2.459685,1.854943,8.589738
2350,-0.866997,1.433419,9.159753
2360,1.602268,1.265768,9.891431
2370,2.035767,1.823807,10.990746
2380,1.7795,1.512455,12.012221
2390,1.186732,0.948428,12.703184
2400,0.598755,0.692161,11.799065
2410,0.35087,1.125659,10.558444
2420,0.359253,1.571133,9.39207
2430,0.193997,1.8274,8.625663
2440,0.083826,1.786685,8.315508
2450,0.086221,1.811832,8.292755
2460,0.089813,1.748364,8.231683
2470,0.088616,1.781895,8.119117
2480,0.173639,1.931583,7.988588
2490,0.306563,1.85135,7.88201
2500,0.348475,1.82261,7.88201
2510,-0.477806,1.319656,8.278385
2520,-1.268163,1.17356,8.538245
2530,-1.833387,1.165177,8.624466
2540,-2.045347,1.24062,8.447234
2550,-1.948349,1.448987,8.284373
