timestamp_ms,acc_x,acc_y,acc_z
0,1.719624,-4.263135,9.536968
10,1.585503,-4.86189,9.921369
20,1.621428,-5.103787,10.289004
30,1.641786,-5.19839,10.613529
40,1.804647,-5.219945,10.801538
50,2.156715,-4.732559,10.703342
60,2.191443,-4.053571,10.287807
70,2.254911,-3.192561,9.744138
80,2.07768,-2.343527,9.243578
90,1.874103,-1.712439,8.844808
100,1.760339,-1.542393,8.474777
110,1.58191,-1.900448,8.656798
120,1.698069,-2.611769,8.959768
130,1.710044,-3.574567,9.326206
140,1.820215,-4.60682,9.582474
150,1.942361,-5.263056,9.820778
160,1.765129,-5.901329,10.014774
170,1.682501,-6.043832,9.939331
180,1.520837,-5.908514,9.693842
190,1.265768,-5.409152,9.336984
200,0.916095,-4.693041,9.038804
210,0.311353,-3.434458,9.050779
220,0.034728,-3.242857,9.363329
230,-0.045505,-3.288362,9.729767
240,-0.016765,-3.59253,10.027947
250,-0.196392,-3.729046,10.296189
260,-0.150886,-3.832031,10.256672
270,-0.164059,-3.769761,10.07465
280,-0.118553,-3.554209,9.760902
290,-0.110171,-3.205734,9.352551
300,-0.013173,-2.990182,9.183702
310,0.007185,-2.660867,9.207653
320,0.228724,-2.654879,9.138197
330,0.398771,-2.574646,8.969349
340,0.441881,-2.47166,8.686736
350,0.65384,-2.430945,8.395741
360,0.907712,-2.306404,7.767049
370,1.045426,-2.11121,7.381451
380,1.225053,-1.877695,6.971902
390,1.351989,-1.700464,6.616242
400,1.437012,-1.57233,6.388715
410,1.565145,-1.417852,6.447393
420,1.747167,-1.296903,6.745573
430,1.780697,-1.298101,7.231762
440,1.724414,-1.281335,7.887997
450,1.862128,-1.395099,8.602911
460,1.844165,-1.381926,9.133408
470,1.802252,-1.609453,9.976455
480,1.707649,-1.923201,10.287807
490,1.859733,-2.445315,10.538086
500,2.008224,-2.935097,10.71891
510,1.859733,-3.236869,10.807526
520,1.819017,-3.078798,10.160871
530,1.965114,-2.719545,9.581276
540,2.005829,-2.439327,9.174123
550,1.996249,-2.246528,8.874745
560,2.016607,-2.165098,8.702304
570,2.002236,-2.126777,8.806487
580,2.014211,-2.175875,9.079519
590,2.12558,-2.226171,9.427995
600,2.295626,-2.227368,9.841136
610,2.420167,-2.132765,10.245894
620,1.58191,-1.722019,10.698553
630,1.155597,-1.894461,11.045831
640,0.767604,-2.175875,11.446997
650,0.661025,-2.239343,11.365565
660,0.64426,-2.123185,10.76681
670,0.714913,-2.250121,9.384885
680,0.635878,-2.586621,8.959768
690,0.428709,-3.028502,8.887918
700,0.251477,-3.424878,9.059162
710,0.186812,-3.780539,9.401649
720,0.282612,-4.047583,10.142908
730,0.529299,-4.179309,10.785971
740,0.755629,-4.155359,11.050621
750,0.840652,-4.105063,11.153606
760,0.838257,-3.935017,11.00272
770,0.758024,-3.632047,10.600357
780,0.490979,-3.030897,9.419612
790,0.3365,-2.713557,8.859178
800,0.216749,-2.474055,8.505912
810,0.117356,-2.162703,8.475974
820,0.135319,-1.984274,8.702304
830,0.377216,-2.204616,9.814791
840,0.548459,-2.450105,10.454261
850,0.758024,-2.674039,10.773995
860,0.979563,-2.835703,10.679393
870,1.18793,-2.902764,10.232721
880,1.512455,-2.76026,8.669971
890,1.640588,-2.575844,7.870035
900,1.707649,-2.17348,7.27607
910,1.874103,-1.877695,6.929989
920,1.980681,-1.731599,6.849756
930,2.011817,-1.733994,7.452104
940,2.007026,-1.927991,7.885602
950,2.056124,-2.218986,8.338261
960,2.068099,-2.450105,8.725057
970,2.1639,-2.678829,8.972941
980,2.177073,-2.884801,9.242381
990,2.088457,-2.999762,9.243578
1000,2.131567,-2.954257,9.177715
1010,2.090852,-2.79858,9.206455
1020,2.153123,-2.70278,9.202863
1030,2.190245,-2.703977,9.239985
1040,2.284849,-2.39502,8.898695
1050,2.293231,-2.198628,8.623268
1060,2.375859,-2.044149,8.355026
1070,2.372267,-2.005829,8.115524
1080,2.451303,-2.235751,7.980206
1090,2.392625,-2.99617,8.19456
1100,2.458488,-3.368595,8.405321
1110,2.475253,-3.687133,8.758587
1120,2.569856,-3.830834,9.043594
1130,2.689607,-3.851192,9.316627
1140,2.713557,-3.576962,9.598042
1150,2.854863,-3.330275,9.510623
1160,2.846481,-2.915936,9.402847
1170,2.800976,-2.543511,9.257948
1180,2.900369,-2.309996,9.134604
1190,2.778223,-2.181863,9.045989
1200,2.881209,-2.368675,8.954978
1210,3.08239,-2.677632,8.703502
1220,3.120711,-2.954257,8.455617
