timestamp_ms,acc_x,acc_y,acc_z
0,0.05748,-1.108894,8.50711
10,0.367636,-0.585582,8.699909
20,0.680186,-0.392783,8.908276
30,0.846639,-0.31255,9.08431
40,0.749641,-0.330513,9.275911
50,0.505349,-0.477806,9.519006
60,0.25507,-0.635878,9.994417
70,-0.027543,-0.779579,10.090218
80,0.00958,-0.850232,10.147698
90,0.185614,-0.801134,10.102193
100,0.3365,-0.707728,9.902208
110,0.522114,-0.665815,9.588461
120,0.849034,-0.530497,8.830438
130,0.987946,-0.541274,8.580158
140,1.043031,-0.637075,8.395741
150,1.052611,-0.724493,8.448432
160,1.064586,-0.693358,8.606503
170,1.093326,-0.61552,8.81966
180,1.081351,-0.643063,8.844808
190,1.075364,-0.723296,8.875943
200,1.122067,-0.846639,8.840017
210,1.124462,-0.849034,8.823253
220,1.179547,-0.851429,8.703502
230,1.106499,-1.112487,8.552615
240,1.437012,-0.931663,8.624466
250,1.253793,-0.898132,8.778944
260,1.147214,-0.95681,8.897498
270,1.165177,-0.963995,9.10347
280,1.075364,-0.999921,9.259146
290,1.037043,-1.112487,9.35854
300,0.950823,-1.217867,9.39207
310,0.787961,-1.243015,9.426797
320,0.674198,-1.380729,9.64714
330,0.816702,-1.322051,9.769285
340,1.053809,-1.335223,9.778865
350,1.204695,-1.322051,9.710608
360,1.225053,-1.268163,9.558523
370,1.134042,-1.239423,9.365725
380,1.263373,-1.213077,9.316627
390,1.477727,-1.132844,9.4256
400,1.55796,-1.086141,9.666299
410,1.48132,-1.027463,9.860296
420,1.27894,-0.975971,10.175241
430,0.917293,-1.072969,11.020683
440,0.771196,-1.301693,11.456576
450,0.652643,-1.405877,11.802657
460,0.560435,-1.349594,11.923605
470,0.616718,-1.316063,11.824212
480,1.032254,-1.357976,11.049423
490,1.18314,-1.407074,10.587184
500,1.229843,-1.368754,10.214759
510,1.326841,-1.390309,10.04591
520,1.417852,-1.348396,9.951306
530,1.421444,-1.632206,9.910591
540,1.408272,-1.840573,9.745335
550,1.281335,-2.046544,9.417217
560,1.039438,-2.320774,9.004076
570,1.002316,-2.387835,8.636441
580,0.379611,-2.514771,8.390951
590,0.089813,-2.759063,8.459209
600,-0.171244,-2.766248,8.673564
610,-0.294587,-2.941084,9.004076
620,-0.481399,-2.865641,9.362132
630,-0.705333,-2.670447,9.954899
640,-0.993933,-2.391427,10.265054
650,-0.984353,-2.269281,10.534493
660,-0.965193,-2.199826,10.669812
670,-0.898132,-2.208208,10.692565
680,-0.701741,-2.239343,10.471025
690,-0.36045,-2.11121,9.271121
700,-0.256267,-1.898053,8.650811
710,0.017963,-1.86093,8.332273
720,0.391586,-1.887275,8.139474
730,0.597557,-1.833387,8.025711
740,0.798739,-1.678909,7.801776
750,0.948428,-1.652564,7.737111
760,1.045426,-1.662144,7.720346
770,0.936453,-1.713637,7.834109
780,0.841849,-1.801055,8.035291
790,0.792751,-1.888473,8.334668
800,0.756826,-1.807042,8.358619
810,0.804727,-1.707649,8.321496
820,0.950823,-1.629811,8.327483
830,1.043031,-1.57712,8.346643
840,1.084944,-1.434617,8.436457
850,1.040636,-1.336421,8.56938
860,1.008303,-1.307681,8.769364
870,0.975971,-1.356779,8.976534
880,0.93286,-1.367556,9.090297
890,0.849034,-1.489702,9.061557
900,0.771196,-1.452579,9.032817
910,0.888552,-1.398691,9.023236
920,1.099314,-1.21667,9.022039
930,1.239423,-1.031056,9.067544
940,1.306483,-0.866997,9.445957
950,1.347198,-0.744851,9.43997
960,1.387914,-0.716111,9.593251
970,1.300496,-0.738864,9.70941
980,1.167572,-0.729283,9.823173
990,0.969983,-0.771196,10.024355
1000,0.693358,-0.761616,10.644665
1010,0.90891,-0.684976,10.797946
1020,1.128054,-0.506547,10.879376
1030,1.101709,-0.149689,10.836267
1040,0.853824,0.171244,10.844649
1050,0.85622,0.535287,11.075768
1060,1.055006,0.621508,11.172767
1070,1.159189,0.683778,10.98356
1080,0.916095,0.607138,10.702146
1090,0.878972,0.426313,10.32972
1100,0.722098,0.296982,9.638757
1110,0.599952,0.257465,9.608819
1120,0.507744,0.128134,9.845925
1130,0.419128,-0.051493,10.285412
1140,0.432301,-0.222737,10.717712
1150,0.306563,-0.702938,11.04104
1160,0.100591,-0.817899,10.809921
1170,-0.021555,-0.813109,10.394385
1180,-0.069456,-0.736469,9.941727
1190,-0.01437,-0.619113,9.633966
1200,0.116158,-0.514929,9.152568
1210,0.143701,-0.202379,8.88193
1220,-0.067061,0.007185,8.78134
1230,-0.34608,0.180824,9.030421
1240,-0.538879,0.185614,9.662706
1250,-0.62989,0.111368,10.37283
1260,-0.690963,-0.171244,11.035053
1270,-0.58678,-0.26944,10.906919
1280,-0.397573,-0.2886,10.521321
1290,-0.086221,-0.252675,10.003997
1300,0.366438,-0.209564,9.475895
1310,1.143622,-0.31255,8.3191
1320,1.322051,-0.348475,7.841294
1330,1.440604,-0.402363,7.528744
1340,1.522035,-0.398771,7.444919
1350,1.619033,-0.343685,7.485634
1360,1.658551,-0.469424,7.801776
1370,1.566343,-0.530497,7.93949
1380,1.489702,-0.652643,8.073611
1390,1.344804,-0.700543,8.167017
1400,1.159189,-0.779579,8.176597
1410,0.94723,-0.772394,8.216115
1420,0.93765,-0.814307,8.350236
1430,1.005908,-0.955613,8.400532
1440,1.009501,-0.89933,8.349038
1450,0.974773,-0.978366,8.247251
1460,0.887355,-1.251398,8.249645
1470,0.62031,-1.344804,8.49274
1480,0.525707,-1.383124,8.872351
1490,0.560435,-1.414259,9.317823
1500,0.632285,-1.429827,9.718989
1510,0.664618,-1.551973,9.947714
1520,0.626298,-1.80345,9.965676
1530,0.752036,-1.852548,9.808803
1540,0.914898,-1.80824,9.689052
1550,1.17356,-1.671724,9.621991
1560,1.397494,-1.51006,9.610016
1570,1.681304,-1.380729,9.552536
1580,1.690884,-1.421444,9.529783
1590,1.716032,-1.373544,9.559721
1600,1.708846,-1.381926,9.552536
1610,1.584306,-1.381926,9.635164
1620,1.330433,-1.323248,9.891431
1630,1.116079,-1.456172,9.895023
1640,0.814307,-1.647774,9.657917
1650,0.561632,-1.923201,9.41123
1660,0.116158,-1.8753,9.210048
1670,-0.881367,-1.228645,10.263857
1680,-0.728086,-0.97118,11.55597
1690,-0.681383,-0.736469,12.597803
1700,-0.570015,-0.862207,13.263618
1710,-0.431104,-0.661025,13.615686
1720,0.463436,-0.069456,12.776232
1730,0.682581,0.180824,11.904445
1740,0.834664,0.280217,11.293715
1750,0.88496,0.244292,10.989548
1760,0.924478,0.01437,10.965597
1770,1.010698,-0.66342,10.905722
1780,1.275348,-0.819097,10.455459
1790,1.372346,-0.862207,9.830359
1800,1.493295,-0.936453,9.281898
1810,1.55796,-0.979563,8.844808
1820,1.575923,-1.045426,8.468789
1830,1.233435,-1.232238,7.967033
1840,0.96639,-1.380729,7.8868
1850,0.614323,-1.493295,7.943083
1860,0.332908,-1.596281,8.139474
1870,0.031135,-1.749562,8.446036
1880,-0.710123,-1.918411,9.348959
1890,-0.943638,-1.907633,9.79563
1900,-1.076561,-1.887275,10.104588
1910,-1.157992,-1.834585,10.263857
1920,-1.1544,-1.7795,10.251882
1930,-0.96639,-1.52443,9.813593
1940,-0.655038,-1.419049,9.475895
1950,-0.376018,-1.369951,9.056767
1960,-0.231119,-1.241818,8.673564
1970,-0.150886,-1.157992,8.350236
1980,0.020358,-1.214275,7.709568
1990,0.100591,-1.249003,7.495214
2000,0.062271,-1.47653,7.34313
2010,-0.013173,-1.541195,7.34792
2020,0.00958,-1.722019,7.373068
2030,0.198787,-1.664539,7.630533
2040,0.176034,-1.688489,7.776629
2050,0.253872,-1.844165,7.95386
2060,0.484991,-1.950743,8.104747
2070,0.475411,-1.713637,8.505912
2080,0.35087,-1.625021,9.040002
2090,0.421523,-1.55796,9.189691
2100,0.477806,-1.556763,9.344169
2110,0.57241,-1.539998,9.484278
2120,0.62031,-1.597478,9.644744
2130,0.580792,-1.58191,9.711804
2140,0.571212,-1.398691,9.692644
2150,0.718506,-1.384321,9.721385
2160,0.916095,-1.331631,9.730965
2170,1.025068,-1.252595,9.77168
2180,0.999921,-1.186732,9.947714
2190,1.003513,-0.88496,10.364448
2200,1.001118,-0.906515,10.451866
2210,0.92328,-0.940045,10.481804
2220,1.007106,-0.986748,10.431508
2230,1.195115,-1.118474,10.226734
2240,1.153202,-1.144819,9.496253
2250,0.793949,-0.998723,9.35854
2260,0.645458,-0.802332,9.408834
2270,0.728086,-0.676593,9.600436
2280,0.719703,-0.58678,9.847123
2290,0.239502,-0.534089,10.406361
2300,-0.056283,-0.435894,10.638678
2310,-0.325723,-0.361648,10.987152
2320,-0.543669,-0.177231,11.549982
2330,-0.506547,-0.138911,12.080479
2340,-0.034728,-0.135319,12.48883
2350,0.135319,-0.155676,12.105627
2360,0.34608,-0.144899,11.236235
2370,0.523312,-0.314945,10.249487
2380,0.742456,-0.56283,9.341774
2390,0.991538,-0.778381,7.938293
2400,1.353186,-0.772394,7.353908
2410,1.360371,-0.764011,6.940767
2420,1.344804,-0.802332,6.827003
2430,1.320853,-0.87538,6.976692
2440,1.156794,-0.916095,7.351513
2450,0.559237,-0.950823,8.352631
2460,0.32213,-0.955613,8.746612
2470,0.056283,-0.975971,9.080717
2480,-0.243094,-0.929268,9.4735
2490,-0.523312,-0.849034,9.905801
2500,-0.911305,-1.019081,11.001523
2510,-0.986748,-1.21188,11.370356
2520,-1.039438,-1.435814,11.55118
2530,-1.017883,-1.652564,11.454182
2540,-0.92807,-1.835783,10.972782
2550,-0.528102,-2.09205,9.505833
